id,name,geometry_type,geometry_wkt,coordinate_count,lon_min,lon_max,lat_min,lat_max
05124396E73CCF1F85E8,Sub-Road 1,LineString,"LINESTRING(36.95888870213339 -0.3956362691379959, 36.95888416201965 -0.3955244163488045, 36.9589308996235 -0.3954352903286956, 36.96078897002744 -0.3942378909588395)",4,36.95888416201965,36.96078897002744,-0.3956362691379959,-0.3942378909588395
096DCE0F083CCF231AE9,Sub-Road 2,LineString,"LINESTRING(36.96093316928641 -0.3942418812069121, 36.96091270326097 -0.3941766073434697, 36.9613101497151 -0.3938361279990378, 36.96132395941896 -0.3937822799938362, 36.96131341434798 -0.3937210081446238, 36.9607769956071 -0.3933130799840972, 36.96047158120138 -0.3931528232119657, 36.96045511242053 -0.3931446950016985)",8,36.96045511242053,36.96132395941896,-0.3942418812069121,-0.3931446950016985
03785A73203CCF201D2E,GATE A (MAIN GATE),Point,POINT(36.95795973818679 -0.3962182336930802),1,36.95795973818679,36.95795973818679,-0.3962182336930802,-0.3962182336930802
0814EE40513CCF20F254,GATE B,Point,POINT(36.95744319414857 -0.3931432437522573),1,36.95744319414857,36.95744319414857,-0.3931432437522573,-0.3931432437522573
0F662069843CCF2162D4,GATE C,Point,POINT(36.96095830249057 -0.3942412439156129),1,36.96095830249057,36.96095830249057,-0.3942412439156129,-0.3942412439156129
0192B170623CCF256EC9,FOOTBAL PITCH 1,Polygon,"POLYGON((36.9602237644519 -0.3958354268852142, 36.96129606442193 -0.3950701514667564, 36.96075422074615 -0.3943390676490474, 36.95909536906844 -0.3953853922932651, 36.9602237644519 -0.3958354268852142))",5,36.95909536906844,36.96129606442193,-0.3958354268852142,-0.3943390676490474
00C57F09563CCF2648E8,FOOTBAL PITCH 2,Polygon,"POLYGON((36.95767092682686 -0.3949289392220394, 36.95829891638866 -0.3948836693863017, 36.95822775538856 -0.3939792517254163, 36.95759488272573 -0.3940185507159478, 36.95767092682686 -0.3949289392220394))",5,36.95759488272573,36.95829891638866,-0.3949289392220394,-0.3939792517254163
06615A1A943CCF272548,RUGBY PITCH,Polygon,"POLYGON((36.95881887973837 -0.3947967849633191, 36.95947479062833 -0.394718351596913, 36.95934967979072 -0.3937368118046528, 36.95867486348383 -0.393805519606536, 36.95881887973837 -0.3947967849633191))",5,36.95867486348383,36.95947479062833,-0.3947967849633191,-0.3937368118046528
06567ADDDA3CCF27EE89,HOCKEY PITCH,Polygon,"POLYGON((36.95941195232389 -0.3937181411404974, 36.95955690746596 -0.3945832530931173, 36.96001322241731 -0.394505458536536, 36.95985768058287 -0.3936631150803771, 36.95941195232389 -0.3937181411404974))",5,36.95941195232389,36.96001322241731,-0.3945832530931173,-0.3936631150803771
0AC056A4653CCF28AB9F,NEW MESS,Polygon,"POLYGON((36.95883406518787 -0.392612076270185, 36.95883033172461 -0.3928567121787985, 36.95921541376153 -0.3928452057221224, 36.95920047202968 -0.3926079367163395, 36.95883406518787 -0.392612076270185))",5,36.95883033172461,36.95921541376153,-0.3928567121787985,-0.3926079367163395
0B8EBE20F93CCF29148C,OLD MESS,Polygon,"POLYGON((36.95869070107141 -0.3927527332581781, 36.95882361105403 -0.392754436296201, 36.95882697786696 -0.3926061415895348, 36.95869754139858 -0.3926051930428938, 36.95869070107141 -0.3927527332581781))",5,36.95869070107141,36.95882697786696,-0.392754436296201,-0.3926051930428938
0581E4AAC13CCF29A48E,BASKET BALL COURT,Polygon,"POLYGON((36.95800137176231 -0.3926354952349505, 36.95800787395236 -0.3928701866769612, 36.9581532905816 -0.3928779681458563, 36.95814482902349 -0.3926356815162024, 36.95800137176231 -0.3926354952349505))",5,36.95800137176231,36.9581532905816,-0.3928779681458563,-0.3926354952349505
02F885EA103CCF2A22CB,PARKING SOB,Polygon,"POLYGON((36.95814858941215 -0.3926360092994384, 36.95815553860525 -0.3928765766678179, 36.9584918713239 -0.3928858194365619, 36.9584810111221 -0.3926446437028565, 36.95814858941215 -0.3926360092994384))",5,36.95814858941215,36.9584918713239,-0.3928858194365619,-0.3926360092994384
0C3B2793883CCF2AE5E3,FREEDOM HALL,Polygon,"POLYGON((36.95819140468815 -0.3918549015242633, 36.95818045934366 -0.392260371499932, 36.95861841005174 -0.3922620530523397, 36.95869002728369 -0.3922405285388683, 36.95877241010501 -0.3921617526869676, 36.95877227568739 -0.3920938137911936, 36.95875622883609 -0.3920221825359294, 36.95873115526886 -0.391973904460493, 36.95867032738969 -0.3919469979518715, 36.95862379114483 -0.3919308482916394, 36.95860767746786 -0.3918717404865039, 36.95819140468815 -0.3918549015242633))",12,36.95818045934366,36.95877241010501,-0.3922620530523397,-0.3918549015242633
0BB7B9901C3CCF2C5858,Sub-Road 3,LineString,"LINESTRING(36.96136153393319 -0.3969755359044999, 36.96149714008331 -0.3945835329827109, 36.96148728425278 -0.3945576373962665, 36.96105844574704 -0.3944178052880026, 36.96096694292225 -0.3943218350906038, 36.96093326884095 -0.3942413468751719)",6,36.96093326884095,36.96149714008331,-0.3969755359044999,-0.3942413468751719
0F4E3831003CCF2E72B0,TENNIS COURT,Polygon,"POLYGON((36.96017651190124 -0.3971454174057443, 36.96004565747117 -0.3974581042841668, 36.96033541570628 -0.3975714145327529, 36.96044671080995 -0.397244564668095, 36.96017651190124 -0.3971454174057443))",5,36.96004565747117,36.96044671080995,-0.3975714145327529,-0.3971454174057443
